"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","E-commerce","0","Product Management","6","0","Product Sorting","0"
"0","E-commerce","0","Product Management","12","0","Shopping Cart","0"
"0","E-commerce","0","Product Management","3","0","User Logout","0"
"0","Authentication","0","Login Functionality","3","0","User Login","0"
"0","E-commerce","0","Product Management","3","0","Product Details","0"
"0","E-commerce","0","Product Management","3","0","Order Management","0"
